objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,PM10 annual mean Limit Value 2020,24,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{17D23CC6-04C2-4BE1-8B31-0432B8B578C2},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,PM10 annual mean Limit Value 2020,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{56DE7909-5D62-4040-BBD2-6CFED93303A4},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,PM10 annual mean Limit Value 2020,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{AE2020B4-E322-4AB1-BCAD-2327CB12793F},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,PM10 annual mean Limit Value 2020,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{7730CFF1-20CB-4580-A183-BE9D5A283235},1285916.58838284,369966601.580566
5,UK0005,Tyneside,PM10 annual mean Limit Value 2020,16,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{29163A93-EBF7-47AC-A89B-6B2B45F61B92},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,PM10 annual mean Limit Value 2020,18,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{19882CFC-E75D-4221-8BAC-BB4B47FC9F23},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,PM10 annual mean Limit Value 2020,18,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{C749A4D0-CBF5-436C-A016-588FEF0EA1BF},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,PM10 annual mean Limit Value 2020,18,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{678BD747-5643-49C7-BADC-047B52CA8AF4},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,PM10 annual mean Limit Value 2020,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{88530BD0-3EF2-4A7E-A3E1-49AC0DF55092},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,PM10 annual mean Limit Value 2020,17,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{DF1A224B-E11B-427E-BF1A-0EAC493D30C6},241980.957221294,94090008.3542869
