objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
27,UK0027,Swansea Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{F6749DE4-679F-42CB-B81C-69F36D75973C},365148.94139693,79703705.1851885
28,UK0028,Belfast Metropolitan Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{9250FBC7-0F3B-4087-B8AB-C46D6E3F2BB5},277460.90331101,198130523.091352
29,UK0029,Eastern,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{08352ACC-9140-4246-92DA-54C5D479E666},2210565.64479357,19104559394.6904
30,UK0030,South West,Nitrogen Dioxide hourly mean Limit Value 2022,1,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{5C65FDFF-A457-4CE3-B2D9-80F93C2972D4},2743218.82663225,23566188737.735
31,UK0031,South East,Nitrogen Dioxide hourly mean Limit Value 2022,1,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{8D69DB3E-4987-46A8-B7DC-7FBE2BA41367},3643594.26603739,18657535924.9388
32,UK0032,East Midlands,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{AD228B2B-3EAC-4116-9615-D93923F13EFA},1684612.99306767,15370211448.3816
33,UK0033,North West & Merseyside,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{BF56FB50-C0D2-4670-8D85-09960D93884C},3535298.00795829,13189716555.2295
34,UK0034,Yorkshire & Humberside,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{1732A871-F677-4D31-9F30-E041A31DEA4D},2858093.01858223,14789540030.5633
35,UK0035,West Midlands,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{0A246D1A-A6C2-4F87-A6CE-29B58F6EF707},2146678.93148484,12233037054.3492
36,UK0036,North East,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{1652B8B9-03A9-435E-ADC1-DC0AD175877F},1568402.30125535,8249987661.31387
37,UK0037,Central Scotland,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{AD43AFFE-D359-4D17-B669-B84649ACC404},1834418.10344638,9620284827.79142
38,UK0038,North East Scotland,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{E6566396-5FE3-4E9A-8F26-F7F27B28A12F},1095339.37047783,18779326879.5982
39,UK0039,Highland,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{0EFAC15C-81C9-48D7-86A3-5FE23A95256B},9990044.0398994,38234358456.5575
40,UK0040,Scottish Borders,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{FA877B37-5645-4C4F-83BD-5BC4599244AA},1099238.46967631,11181066200.7782
41,UK0041,South Wales,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{85E0B1D7-A796-41F4-8518-E88F6F2D9F83},1954724.79603707,12206279572.1381
42,UK0042,North Wales,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{A2FEB990-2F6C-4979-A4D4-D1AEFC035625},1126135.47314491,8308163746.65288
43,UK0043,Northern Ireland,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{3EA65088-C6C6-4CC8-86C2-E1C2721B582C},1428539.01069978,13931049267.7032
