objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
27,UK0027,Swansea Urban Area,PM2.5 annual mean stage2 Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{3FE4E249-9685-4B75-A42B-B0F863955F88},365148.94139693,79703705.1851885
28,UK0028,Belfast Metropolitan Urban Area,PM2.5 annual mean stage2 Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{8F024CC9-A17D-4A40-879B-584B534FCB66},277460.90331101,198130523.091352
29,UK0029,Eastern,PM2.5 annual mean stage2 Limit Value 2022,14,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{D811C669-2AA8-4DAF-89A9-9FD744580CE2},2210565.64479357,19104559394.6904
30,UK0030,South West,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{89B902F8-7822-46DA-909C-A7FB07A09A20},2743218.82663225,23566188737.735
31,UK0031,South East,PM2.5 annual mean stage2 Limit Value 2022,12,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{551E5EE7-DB1E-4DFA-8C34-8118C8C552A3},3643594.26603739,18657535924.9388
32,UK0032,East Midlands,PM2.5 annual mean stage2 Limit Value 2022,13,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{13D19107-088E-413B-B3C4-B211B560B48F},1684612.99306767,15370211448.3816
33,UK0033,North West & Merseyside,PM2.5 annual mean stage2 Limit Value 2022,13,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{261027E0-AEBB-4A2D-BA14-BEC5DCCFA2CA},3535298.00795829,13189716555.2295
34,UK0034,Yorkshire & Humberside,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{FE03708A-76A7-42DA-A447-B4E6B4F4740D},2858093.01858223,14789540030.5633
35,UK0035,West Midlands,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{E023F3E3-73E8-42B0-A41B-2EE9DBB40E88},2146678.93148484,12233037054.3492
36,UK0036,North East,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{7D15ABD7-B1CD-4484-95AF-8A1905E5301D},1568402.30125535,8249987661.31387
37,UK0037,Central Scotland,PM2.5 annual mean stage2 Limit Value 2022,8,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{2BE980D6-46C0-4BAC-B967-4589C93D7B05},1834418.10344638,9620284827.79142
38,UK0038,North East Scotland,PM2.5 annual mean stage2 Limit Value 2022,8,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{3960D641-8A08-41CF-8D8E-C8D77D347FE0},1095339.37047783,18779326879.5982
39,UK0039,Highland,PM2.5 annual mean stage2 Limit Value 2022,5,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{20FB6CCF-6EEB-47F7-B1D2-E1C5D446D816},9990044.0398994,38234358456.5575
40,UK0040,Scottish Borders,PM2.5 annual mean stage2 Limit Value 2022,6,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{AC938A5F-422F-4736-94F0-F43D3BBC4870},1099238.46967631,11181066200.7782
41,UK0041,South Wales,PM2.5 annual mean stage2 Limit Value 2022,12,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{273FED85-D765-46DE-8913-302066C7F079},1954724.79603707,12206279572.1381
42,UK0042,North Wales,PM2.5 annual mean stage2 Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{48B36F42-2C97-4971-AE0F-CB873533B088},1126135.47314491,8308163746.65288
43,UK0043,Northern Ireland,PM2.5 annual mean stage2 Limit Value 2022,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{1FFEB717-C5B0-45C7-8A35-F34FE22AE52D},1428539.01069978,13931049267.7032
