objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
29,UK0029,Eastern,PM10 annual mean Limit Value 2022,22,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{CA036D9D-B75E-461F-85FA-2B1220278A09},2210565.64479357,19104559394.6904
30,UK0030,South West,PM10 annual mean Limit Value 2022,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{B601C6E5-3EDD-449E-9014-CD8AE394C637},2743218.82663225,23566188737.735
31,UK0031,South East,PM10 annual mean Limit Value 2022,22,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{F5987D74-B328-4CFD-AC95-78BC644BBB9D},3643594.26603739,18657535924.9388
32,UK0032,East Midlands,PM10 annual mean Limit Value 2022,23,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{C89C8A99-EA25-476E-94E7-68A9492B6EDA},1684612.99306767,15370211448.3816
33,UK0033,North West & Merseyside,PM10 annual mean Limit Value 2022,19,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{0F13CEF5-5769-4E88-AB28-D56362CBA9F4},3535298.00795829,13189716555.2295
34,UK0034,Yorkshire & Humberside,PM10 annual mean Limit Value 2022,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{852CF74C-88FE-4D37-B24E-025A2C47363C},2858093.01858223,14789540030.5633
35,UK0035,West Midlands,PM10 annual mean Limit Value 2022,21,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{84B3E551-C491-4ED2-8BB6-5759208DA3D9},2146678.93148484,12233037054.3492
36,UK0036,North East,PM10 annual mean Limit Value 2022,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{F949AC0A-F1B6-44A7-90FA-4D163C63FE86},1568402.30125535,8249987661.31387
37,UK0037,Central Scotland,PM10 annual mean Limit Value 2022,17,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{EF475005-E3C3-416C-8A84-E2C3018B0181},1834418.10344638,9620284827.79142
38,UK0038,North East Scotland,PM10 annual mean Limit Value 2022,14,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{56EB36BD-08D2-46EF-BFB7-9AFCF7CCF064},1095339.37047783,18779326879.5982
39,UK0039,Highland,PM10 annual mean Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{284E06E3-4238-45ED-A6A8-1781DA284502},9990044.0398994,38234358456.5575
40,UK0040,Scottish Borders,PM10 annual mean Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{1010FEE2-4EF9-4AB5-91E9-7C890A61C203},1099238.46967631,11181066200.7782
41,UK0041,South Wales,PM10 annual mean Limit Value 2022,21,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{7A6C4CBE-BD43-487A-9E69-38AE264909E8},1954724.79603707,12206279572.1381
42,UK0042,North Wales,PM10 annual mean Limit Value 2022,19,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{48467372-0D87-454A-B725-5BDE723760E3},1126135.47314491,8308163746.65288
43,UK0043,Northern Ireland,PM10 annual mean Limit Value 2022,16,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{B80532A6-711E-4A86-9192-2E233FE3C908},1428539.01069978,13931049267.7032
