objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,PM2.5 annual mean Limit Value 2021,13,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{91B0D12B-43B3-4E65-A405-3D9206C405E6},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,PM2.5 annual mean Limit Value 2021,12,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{261BFB91-6CD3-4F27-9973-D9CD2A8F0B0F},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,PM2.5 annual mean Limit Value 2021,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{E089A0FF-6C1A-4EF1-A5E2-4E23866B3D42},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,PM2.5 annual mean Limit Value 2021,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{077C92BA-6966-4A05-90A0-7D0F83E0DA40},1285916.58838284,369966601.580566
5,UK0005,Tyneside,PM2.5 annual mean Limit Value 2021,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{1EF124EF-02BF-47C3-B013-17A0111ECB01},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,PM2.5 annual mean Limit Value 2021,12,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{75D9FEF9-DA5B-44FD-8573-DABF746A9A1E},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,PM2.5 annual mean Limit Value 2021,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{3DCE205F-21F4-4660-AF1A-A0E2BE7266FB},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,PM2.5 annual mean Limit Value 2021,12,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{59A050E2-2786-4460-B276-B6BCCA5F3BA2},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,PM2.5 annual mean Limit Value 2021,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{669F3733-3ECA-4F62-B8D4-CB9435F80393},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,PM2.5 annual mean Limit Value 2021,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{F683FAAD-32B9-44E5-B9FE-938912BB0F2D},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,PM2.5 annual mean Limit Value 2021,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{AB43A4C8-4C0F-4131-A376-01867CE57FEA},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,PM2.5 annual mean Limit Value 2021,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{AAF8FFB9-4A07-4D3B-87D2-2FED2645CCC0},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,PM2.5 annual mean Limit Value 2021,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{8A347A89-C703-46B6-99CA-7D56CF9E82CD},268300.380811507,114303033.398667
14,UK0014,The Potteries,PM2.5 annual mean Limit Value 2021,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{77CE1645-82B0-45FE-B4B3-34AB2AF518D7},320022.561398888,96638493.7269874
15,UK0015,Bournemouth Urban Area,PM2.5 annual mean Limit Value 2021,13,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{A74CA232-F4D7-4FE9-B2C1-6EC4A0737BB8},251849.342077123,108070011.0059
16,UK0016,Reading/Wokingham Urban Area,PM2.5 annual mean Limit Value 2021,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{561EC1FB-B29D-4846-85FC-6CD457632C9D},259025.822297437,93153131.1895689
17,UK0017,Coventry/Bedworth,PM2.5 annual mean Limit Value 2021,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{EE7E291C-2C0C-44B1-A81F-C556DEDDA52C},228377.589941263,75477131.7086832
18,UK0018,Kingston upon Hull,PM2.5 annual mean Limit Value 2021,12,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{4AA801F7-595B-4B2D-97EE-5BE5CD91CBB0},144828.131798232,80386674.5916436
19,UK0019,Southampton Urban Area,PM2.5 annual mean Limit Value 2021,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{2835950A-C22B-4B65-92E2-4A4CDD6734CE},182667.610100662,72763328.1857934
20,UK0020,Birkenhead Urban Area,PM2.5 annual mean Limit Value 2021,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{96A44550-79FA-417D-A680-96FE374BC4AF},205808.659555806,89081252.6538979
