objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,50,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{4DB4C583-8C26-4CA8-9BED-8186B1224F73},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,49,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{73C50E2F-3EDF-4966-AB7E-E706A614E5B4},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,52,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{0B79DF99-57D2-466B-A369-7E8F978F0CF9},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,43,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{C666FC06-1B44-4FEA-A56A-B5C31A53DA01},1285916.58838284,369966601.580566
5,UK0005,Tyneside,Nitrogen Dioxide annual mean Limit Value 2021,34,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{F4FD4132-BDED-4D52-A7ED-9ACE79AA0429},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,43,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{66C09DC3-B516-441B-848E-7C15C81D25FD},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,45,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{6F63EAFE-B0C6-44C4-AE2C-08A5BD2925AA},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,44,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{3A1AAE7F-0B76-44EB-B611-55503F7A092C},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,43,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{074D4BDB-4F23-4A2D-B6D4-A74D59855349},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,Nitrogen Dioxide annual mean Limit Value 2021,30,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{D4CB0C7F-6F5B-458A-9E5C-A86B0DA33D1A},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,39,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{0CB7B141-08DE-488E-B9FB-86AE3007CDEF},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,38,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{BD8963A4-B05A-4EF5-A059-9C7D5E09451F},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,Nitrogen Dioxide annual mean Limit Value 2021,37,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{15BC70E2-3939-459A-8E41-3CA8EAAFE80A},268300.380811507,114303033.398667
