objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,PM10 daily mean Limit Value 2021,13,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{06E7B5FB-6C13-4159-BE19-330BEF02D542},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,PM10 daily mean Limit Value 2021,3,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{CD225174-FA19-42E3-A320-950377DAF736},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,PM10 daily mean Limit Value 2021,3,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{44957B12-E0A8-4507-BC02-18967F5A7562},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,PM10 daily mean Limit Value 2021,4,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{EAAE0A91-BC57-40FA-BE82-A2F1B83B42C4},1285916.58838284,369966601.580566
5,UK0005,Tyneside,PM10 daily mean Limit Value 2021,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{09D6126B-5405-4B8A-B86B-2533DC9B06D4},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,PM10 daily mean Limit Value 2021,1,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{522CD5E0-5961-44C1-BDF4-979BE3101E63},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,PM10 daily mean Limit Value 2021,1,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{CCA75217-9678-47B1-A5A6-B8258A333340},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,PM10 daily mean Limit Value 2021,1,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{C2B2F83C-7EAB-487A-AD0C-949A82ED3BB5},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,PM10 daily mean Limit Value 2021,3,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{F7C8882C-7CB1-4529-933A-9DA4355141E4},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,PM10 daily mean Limit Value 2021,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{0A3E8549-A7AD-4AA4-8483-22376E4802B7},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,PM10 daily mean Limit Value 2021,4,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{62FFEFDD-9637-47F3-8FC0-EAC9A9F97B2E},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,PM10 daily mean Limit Value 2021,2,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{90354ED0-8197-4D62-907F-69AF5F47885F},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,PM10 daily mean Limit Value 2021,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{03EBB588-E203-431D-9185-50A96E9A6C71},268300.380811507,114303033.398667
14,UK0014,The Potteries,PM10 daily mean Limit Value 2021,2,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{DA4887F1-9D35-4F4F-8482-7AE4DD7ECA35},320022.561398888,96638493.7269874
15,UK0015,Bournemouth Urban Area,PM10 daily mean Limit Value 2021,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{CB6D79DD-EC36-4D4D-BE56-E379EC02313E},251849.342077123,108070011.0059
16,UK0016,Reading/Wokingham Urban Area,PM10 daily mean Limit Value 2021,2,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{2D641C54-993B-4786-83D6-F21862C856DE},259025.822297437,93153131.1895689
17,UK0017,Coventry/Bedworth,PM10 daily mean Limit Value 2021,2,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{EF02CF55-6EA8-4D39-BD7B-B83452315AB1},228377.589941263,75477131.7086832
18,UK0018,Kingston upon Hull,PM10 daily mean Limit Value 2021,2,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{B9B0E687-DCA0-40CD-A153-28C0044A2B7A},144828.131798232,80386674.5916436
19,UK0019,Southampton Urban Area,PM10 daily mean Limit Value 2021,4,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{1586E0D1-53F0-4CF5-B6F1-A0F5E9454246},182667.610100662,72763328.1857934
20,UK0020,Birkenhead Urban Area,PM10 daily mean Limit Value 2021,1,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{C50151D9-AB3C-424B-A849-17EE2FA97689},205808.659555806,89081252.6538979
21,UK0021,Southend Urban Area,PM10 daily mean Limit Value 2021,1,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{F62E485C-115B-4D3F-A855-CCFEA80EAF9F},142991.514576751,66833273.5808221
