objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{2F2775F3-1D38-41BB-A591-391FE918158B},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{B79177D0-18A6-4F1A-A6EE-3848D8DD8F41},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{06A0B0C9-013F-4524-A04A-B0ED91B79674},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{E36D5221-B9A4-498A-81B8-5B9ED4808DB6},1285916.58838284,369966601.580566
5,UK0005,Tyneside,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{D0B46EEF-680D-4E22-A2E6-4DA7D6C278F7},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{CDBB1727-6EA9-4378-85D5-226B43066D8B},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{4ED58652-65D8-4038-A6DB-5B8CF503986F},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{0EF399F5-DBC7-41BC-B27D-895AF95394EF},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{FACF69F7-C39F-4924-ABDE-43D5868B92AF},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{32E681C1-589F-41AA-841C-85D118A43566},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{93824BFA-0A7B-4F8F-9B61-80781EAE3CD3},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{17E64197-EBB4-41E6-BBD2-274616C4F71A},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{AB426DF4-9F1D-4B04-A0F1-CDC9DCA5AAAC},268300.380811507,114303033.398667
14,UK0014,The Potteries,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{C11623B3-5857-40F9-BEBA-5486BF5DE407},320022.561398888,96638493.7269874
15,UK0015,Bournemouth Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{08657EBD-090C-4F0C-B2A1-DF2B37499ECF},251849.342077123,108070011.0059
16,UK0016,Reading/Wokingham Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{A608D5D5-277F-4C51-A344-96AE6A566AAD},259025.822297437,93153131.1895689
17,UK0017,Coventry/Bedworth,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{D981F43C-3159-415F-8F8D-3C26AC01CA6F},228377.589941263,75477131.7086832
18,UK0018,Kingston upon Hull,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{8F18E1B3-4FB6-4417-BEBB-E875EA305835},144828.131798232,80386674.5916436
19,UK0019,Southampton Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{7A70CBC4-6858-410F-815F-09AA0D0369CE},182667.610100662,72763328.1857934
20,UK0020,Birkenhead Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{9F6E29E6-BFE9-4CA6-AC98-DA4835E41DEB},205808.659555806,89081252.6538979
21,UK0021,Southend Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{D7867241-B697-4F3F-AF9B-788E2ED7DCA6},142991.514576751,66833273.5808221
22,UK0022,Blackpool Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{CEE8DF55-4267-4BD5-B240-1CA1605BD9DA},149487.381148489,65847099.3633596
23,UK0023,Preston Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{FB99AD27-8D7B-4A61-B271-3477DF4B047A},285011.781083192,60444246.6523564
24,UK0024,Glasgow Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{03F0568D-378B-4ED9-A289-29E9C33BAEC5},408662.287986469,371181137.360747
25,UK0025,Edinburgh Urban Area,Nitrogen Dioxide hourly mean Limit Value 2021,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{91F83F62-2025-4984-B190-CE14CDD1DF02},114175.612590016,120107997.674062
